manufacturers_id	finial_name	finial_image_url	rod_type	finish
5	Pineapple	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/PB/Fluted_Dec_Pine.jpg	Roped	Polished Brass
5	Acorn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/PB/Fluted_Dec_Acorn.jpg	Roped	Polished Brass
5	Ball	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/PB/Fluted_Dec_Acorn.jpg	Roped	Polished Brass
5	Urn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/PB/Fluted_Dec_Acorn.jpg	Roped	Polished Brass
5	Pineapple	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/BB/BB_Fluted_Dec_Pine.jpg	Roped	Brushed Brass
5	Acorn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/BB/BB_Fluted_Dec_Acorn.jpg	Roped	Brushed Brass
5	Ball	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/BB/BB_Fluted_Dec_Acorn.jpg	Roped	Brushed Brass
5	Urn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/BB/BB_Fluted_Dec_Acorn.jpg	Roped	Brushed Brass
5	Pineapple	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/AB/AB_Fluted_Dec_Pine.jpg	Roped	Antique Brass
5	Acorn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/AB/AB_Fluted_Dec_Acorn.jpg	Roped	Antique Brass
5	Ball	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/AB/AB_Fluted_Dec_Acorn.jpg	Roped	Antique Brass
5	Urn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/AB/AB_Fluted_Dec_Acorn.jpg	Roped	Antique Brass
5	Pineapple	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/AP/AP_Dec_Roped_Pine.jpg	Roped	Antique Pewter
5	Acorn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/AP/AP_Dec_Acorn.jpg	Roped	Antique Pewter
5	Ball	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/AP/AP_Fluted_Smth_Ball.jpg	Roped	Antique Pewter
5	Urn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Dynasty/AP/AP_Dec_Acorn.jpg	Roped	Antique Pewter
6	Pineapple	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Grand%20Dynasty/PB/Fluted_Pine.jpg	Smth	Polished Brass
6	Urn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Grand%20Dynasty/PB/Fluted_Urn.JPG	Smth	Polished Brass
6	Pineapple	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Grand%20Dynasty/BB/Fluted_Pine.jpg	Smth	Brushed Brass
6	Urn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Grand%20Dynasty/BB/Fluted_Pine.jpg	Smth	Brushed Brass
6	Pineapple	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Grand%20Dynasty/AB/Fluted_Pine.jpg	Smth	Antique Brass
6	Urn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Grand%20Dynasty/AB/Fluted_Pine.jpg	Smth	Antique Brass
6	Pineapple	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Grand%20Dynasty/AP/Fluted_Pine.jpg	Smth	Antique Pewter
6	Urn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Grand%20Dynasty/AP/Fluted_Pine.jpg	Smth	Antique Pewter
6	Pineapple	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Grand%20Dynasty/PB/Fluted_Pine.jpg	Fluted	Polished Brass
6	Urn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Grand%20Dynasty/PB/Fluted_Urn.JPG	Fluted	Polished Brass
6	Pineapple	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Grand%20Dynasty/BB/Fluted_Pine.jpg	Fluted	Brushed Brass
6	Urn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Grand%20Dynasty/BB/Fluted_Pine.jpg	Fluted	Brushed Brass
6	Pineapple	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Grand%20Dynasty/AB/Fluted_Pine.jpg	Fluted	Antique Brass
6	Urn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Grand%20Dynasty/AB/Fluted_Pine.jpg	Fluted	Antique Brass
6	Pineapple	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Grand%20Dynasty/AP/Fluted_Pine.jpg	Fluted	Antique Pewter
6	Urn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Grand%20Dynasty/AP/Fluted_Pine.jpg	Fluted	Antique Pewter
6	Pineapple	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Grand%20Dynasty/PB/Fluted_Pine.jpg	Roped	Polished Brass
6	Urn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Grand%20Dynasty/PB/Fluted_Urn.JPG	Roped	Polished Brass
6	Pineapple	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Grand%20Dynasty/BB/Fluted_Pine.jpg	Roped	Brushed Brass
6	Urn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Grand%20Dynasty/BB/Fluted_Pine.jpg	Roped	Brushed Brass
6	Pineapple	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Grand%20Dynasty/AB/Fluted_Pine.jpg	Roped	Antique Brass
6	Urn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Grand%20Dynasty/AB/Fluted_Pine.jpg	Roped	Antique Brass
6	Pineapple	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Grand%20Dynasty/AP/Fluted_Pine.jpg	Roped	Antique Pewter
6	Urn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Grand%20Dynasty/AP/Fluted_Pine.jpg	Roped	Antique Pewter
7	Pineapple	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Stair%20Jewel/PB/Fluted_Pine.JPG	Smth	Polished Brass
7	Ball	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Stair%20Jewel/PB/Fluted_Ball.JPG	Smth	Polished Brass
7	Urn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Stair%20Jewel/PB/Fluted_Urn.JPG	Smth	Polished Brass
7	Acorn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Stair%20Jewel/PB/Fluted_Acorn.JPG	Smth	Polished Brass
7	Pineapple	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Stair%20Jewel/PB/Fluted_Pine.JPG	Fluted	Polished Brass
7	Ball	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Stair%20Jewel/PB/Fluted_Ball.JPG	Fluted	Polished Brass
7	Urn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Stair%20Jewel/PB/Fluted_Urn.JPG	Fluted	Polished Brass
7	Acorn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Stair%20Jewel/PB/Fluted_Acorn.JPG	Fluted	Polished Brass
7	Pineapple	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Stair%20Jewel/PB/Fluted_Pine.JPG	Roped	Polished Brass
7	Ball	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Stair%20Jewel/PB/Fluted_Ball.JPG	Roped	Polished Brass
7	Urn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Stair%20Jewel/PB/Fluted_Urn.JPG	Roped	Polished Brass
7	Acorn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Stair%20Jewel/PB/Fluted_Acorn.JPG	Roped	Polished Brass
8	Addon Set	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Classic%20WH/PB/ClassicWH_Acorn_PB.TIF		Polished Brass
8	Round	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Classic%20WH/PB/ClassicWH_Rnd_PB.TIF		Polished Brass
8	Crown	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Classic%20WH/PB/ClassicWH_Crn_PB.TIF		Polished Brass
8	Urn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Classic%20WH/PB/ClassicWH_Urn_PB.TIF		Polished Brass
8	Acorn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Classic%20WH/PB/ClassicWH_Acorn_PB.TIF		Polished Brass
8	Addon Set	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Classic%20WH/AB/ClassicABAcorn.jpg		Antique Brass
8	Round	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Classic%20WH/AB/ClassicABRound.jpg		Antique Brass
8	Crown	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Classic%20WH/AB/ClassicABCrown.jpg		Antique Brass
8	Urn	http://zoroufy.s3.amazonaws.com/Zoroufy%20Product%20Images/Classic%20WH/AB/ClassicABUrn.jpg		Antique Brass
