manufacturers_id	color_category	color_name
521	Shaw Custom	the Ollie Rug	
522	Shaw Custom	Rooftops	
523	Shaw Custom	Merry Jumble	
524	Shaw Custom	Wine Vista	
525	Shaw Custom	Beachside Stripe	
526	Shaw Custom	Island Batik-t	
527	Shaw Custom	Garden Gate	
528	Shaw Custom	Avalon	
529	Shaw Custom	Zaza	
530	Shaw Custom	Snowfall	
531	Shaw Custom	Mojave	
532	Shaw Custom	Intertwine	
533	Shaw Custom	Sunflower Medley	
534	Shaw Custom	Forever Blossoms	
535	Shaw Custom	Leopard	
536	Shaw Custom	Antique Bidjar	
537	Shaw Custom	Cyprus	
538	Shaw Custom	Chablis	
539	Shaw Custom	Manor Border	
540	Shaw Custom	Dino Dreams	
541	Shaw Custom	Uptown	
542	Shaw Custom	Wild Savanna	
543	Shaw Custom	Durango Ranch	
544	Shaw Custom	Kaleidoscope	
545	Shaw Custom	Chateau Garden	
546	Shaw Custom	Bryce	
547	Shaw Custom	Mandalay	
548	Shaw Custom	Tamara	
549	Shaw Custom	Audrina	
550	Shaw Custom	Rhodes	
551	Shaw Custom	Flying Machine	
552	Shaw Custom	Cabana Palms	
553	Shaw Custom	Arts And Crafts	
554	Shaw Custom	Dunes	
555	Shaw Custom	Camilla	
556	Shaw Custom	Nutcrackers	
557	Shaw Custom	Stratford	
558	Shaw Custom	Cicily	
559	Shaw Custom	Florentine	
560	Shaw Custom	Kilimanjaro	
561	Shaw Custom	Chocolate Mint	
562	Shaw Custom	Sunshine	
563	Shaw Custom	Rhythm	
564	Shaw Custom	Vienna	
565	Shaw Custom	Tiny Dancer	
566	Shaw Custom	Forest Floor	
567	Shaw Custom	Luau	
568	Shaw Custom	West Indies Safari	
569	Shaw Custom	Collage	
570	Shaw Custom	Seasons	
571	Shaw Custom	Tropical Ports	
572	Shaw Custom	Laurent	
573	Shaw Custom	Cipollini Trellis	
574	Shaw Custom	Venice	
575	Shaw Custom	Lovelines	
576	Shaw Custom	Meshed	
577	Shaw Custom	Aubusson	
578	Shaw Custom	Moroccan Mosaic	
579	Shaw Custom	Highland	
580	Shaw Custom	Lyric	
581	Shaw Custom	Autumn Grove	
582	Shaw Custom	Mr. And Mrs.	
583	Shaw Custom	Ribbons Of Life	
584	Shaw Custom	Tis the Season	
585	Shaw Custom	Olivia	
586	Shaw Custom	Della	
587	Shaw Custom	Salem Glass	
588	Shaw Custom	Outback	
589	Shaw Custom	Safari Garden	
590	Shaw Custom	Aruba	
591	Shaw Custom	Ambrosia	
592	Shaw Custom	New Mexico	
593	Shaw Custom	Magnolia Memories	
594	Shaw Custom	Jazz Age	
595	Shaw Custom	Elipse	
596	Shaw Custom	Sandia	
597	Shaw Custom	Santa Fe Mosaic	
598	Shaw Custom	Isadora	
599	Shaw Custom	Peacock	
600	Shaw Custom	Coffee House	
601	Shaw Custom	Shibori	
602	Shaw Custom	Corinth	
603	Shaw Custom	Lima	
604	Shaw Custom	Zimbabwe	
605	Shaw Custom	Dakota	
606	Shaw Custom	Fleurescent	
607	Shaw Custom	Toby	
608	Shaw Custom	Phoenicia	
609	Shaw Custom	Castlehill Park	
610	Shaw Custom	Jessamine	
611	Shaw Custom	Coventry	
612	Shaw Custom	Opposites Blue	
613	Shaw Custom	Carnivale	
614	Shaw Custom	Amina	
615	Shaw Custom	El Palicio	
616	Shaw Custom	Artesian	
617	Shaw Custom	Nautical Voyages	
618	Shaw Custom	Urban Jungle	
619	Shaw Custom	Mesa	
620	Shaw Custom	Mystique	
621	Shaw Custom	Florist Greens	
622	Shaw Custom	Rochester	
623	Shaw Custom	Aura	
624	Shaw Custom	Dancing Lotus	
625	Shaw Custom	Metro	
626	Shaw Custom	Murri Suzani	
627	Shaw Custom	Senneh	
628	Shaw Custom	Lauren	
629	Shaw Custom	Branches And Blossoms	
630	Shaw Custom	Midtown	
631	Shaw Custom	Hamptons	
632	Shaw Custom	Greystone	
633	Shaw Custom	Frond Memories	
634	Shaw Custom	Mosque Medallion	
635	Shaw Custom	Eliza	
636	Shaw Custom	Paisley Block	
637	Shaw Custom	Hula	
638	Shaw Custom	Plantation	
639	Shaw Custom	Wave Rider	
640	Shaw Custom	Linville	
641	Shaw Custom	Port Royal Medallion	
642	Shaw Custom	Sunset Palms	
643	Shaw Custom	Fuji	
644	Shaw Custom	Conway	
645	Shaw Custom	Cape Jewel	
646	Shaw Custom	Karina	
647	Shaw Custom	Khorassan	
648	Shaw Custom	Westgate	
649	Shaw Custom	Delphine	
650	Shaw Custom	Vallero	
651	Shaw Custom	Volos	
652	Shaw Custom	Buckingham Border	
653	Shaw Custom	All-over Tabriz	
654	Shaw Custom	Ashford	
655	Shaw Custom	Nova	
656	Shaw Custom	Sundown	
657	Shaw Custom	Antigua	
658	Shaw Custom	Naples	
659	Shaw Custom	Maple Ridge	
660	Shaw Custom	Luna
